CommentID,Comment,CommentTime,UserID,UserName
4301331289821315,现在火箭确实打的不好，问题出在防守。哈登缺阵，也有很大影响。都在说保罗，可我们是不是忘了保罗来的时候我们高呼救星来了，去年抢七我们都在怀念保罗。他们会调整过来的，毕竟上赛季的常规赛第一，不会这样下去。,Wed Oct 31 23:45:57 +0800 2018,3212347462,樊凌霄_
4301330380077380,在火箭没得上场，要是阿联在公牛就好了，不去雄鹿，周要是去现在的灰熊适合,Wed Oct 31 23:42:19 +0800 2018,1760443023,粤港车保罗
4301329377794585,没看比赛，但是看了这个集锦，感觉火箭的防守真的跟梦游一样……[跪了],Wed Oct 31 23:38:21 +0800 2018,5727081071,我一拳把你鼻子打脸里
4301329105222987,上赛季的火箭，感觉落后多少都不怕，这赛季一言难尽了,Wed Oct 31 23:37:15 +0800 2018,2185027471,萌不是卖萌的萌
4301327343364258,火箭坠落了。。。,Wed Oct 31 23:30:16 +0800 2018,1924874231,_CEJX
4301327234367971,现在的火箭，都用上轻取的字眼了，以前弱队的专用词，说明这下问题大了[悲伤][悲伤],Wed Oct 31 23:29:50 +0800 2018,3489066500,默者独舞
4301327083083406,火箭摆烂了？,Wed Oct 31 23:29:13 +0800 2018,5857691741,哴嗟
4301327016881576,今日火箭最佳,Wed Oct 31 23:28:58 +0800 2018,2159565221,偏执狂丶患者
4301326790229104,回复@爱看NBA的Dotaer:保罗脏b4000万坑惨火箭,Wed Oct 31 23:28:03 +0800 2018,5202275823,祁诺一的老爸
4301326760333223,火箭。。。。唉。。。,Wed Oct 31 23:27:57 +0800 2018,5338699272,陈陈陈陈陈阳_
4301326693085470,火箭？,Wed Oct 31 23:27:40 +0800 2018,6052755765,默幽色黑的你
4301322696646849,回复@masker_Wang:不要拿火箭来和湖人比较，不配，,Wed Oct 31 23:11:48 +0800 2018,2393223995,梵慈德智
4301321836092167,联盟真是神奇，湖人火箭雷霆这些夏天签下大腕的队伍都在痛苦保级，反而不被人看好的交易却打出了成绩[笑cry],Wed Oct 31 23:08:23 +0800 2018,2749183995,心安即是归处彡
